anno,genere,codice,regione,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2002,Maschi,1,Piemonte,17523,18135,17816,17478,17105,17106,17017,16908,17042,17493,17701,17989,17403,17743,16665,17381,17928,17944,18751,19690,19907,20423,21505,23478,24862,26479,28949,30506,31320,32277,32897,32702,34245,33776,33610,35001,34883,35403,33301,31962,31747,30760,30508,29621,29604,29202,28940,28436,27869,28413,27729,29233,29843,31744,31261,30607,23791,25645,25383,26045,26528,29395,29429,29050,26625,25395,25552,24315,23243,23039,22756,23031,20621,19674,18198,16834,15676,14501,13817,12761,11175,10382,6060,4260,4054,4539,5271,4571,3987,3385,2537,1940,1408,980,678,459,307,170,108,62,85
2002,Maschi,2,Valle D'Aosta/Vallée D'Aoste,589,577,564,534,505,555,526,506,476,533,526,485,521,541,495,479,514,504,554,531,494,633,593,757,708,756,844,893,888,953,1007,1021,1055,1043,1027,1096,1087,1178,1070,944,1034,904,929,862,873,855,799,868,882,791,831,870,845,929,909,808,619,740,772,807,754,807,790,743,660,615,648,583,600,593,595,585,538,516,433,438,406,348,366,323,288,244,150,123,101,117,151,120,85,79,59,44,31,16,17,9,6,6,4,3,0
2002,Maschi,3,Lombardia,42753,43259,42363,41534,40865,40784,39829,39440,39850,40707,40771,40943,40004,40548,38754,39209,40625,41343,43036,44539,45372,46897,48881,53224,57016,61265,67463,71065,72484,74623,76156,76656,79526,79235,79676,83287,82477,82655,77182,73541,71889,69327,67236,64463,63413,62914,60891,60266,59148,59131,58817,62291,63245,65702,64126,66618,49689,53109,52751,54028,55629,61139,60036,57672,52059,48389,49277,46506,44137,42962,41611,40784,36653,34461,32409,29586,27265,25605,23738,20758,19058,16991,9966,6732,6296,7240,8057,7202,6157,4903,3842,2838,1975,1348,846,587,387,240,131,87,110
2002,Maschi,4,Trentino-Alto Adige/Südtirol,5315,5310,5362,5239,5391,5265,5169,5083,4940,5258,5129,5123,4946,4983,4762,4837,5000,4984,5056,5129,5182,5213,5250,5646,5734,6059,6527,7057,7139,7423,7934,7738,8353,8254,8133,8529,8821,8733,8276,7729,7775,7514,7301,6883,6640,6581,6319,6150,6008,5940,5912,6114,5872,6139,5847,6359,4608,5225,5603,5578,5633,5358,5251,4980,4466,4210,4191,4094,4042,3905,3816,3981,3530,3415,3293,3123,2889,2724,2664,2410,2082,1887,1150,686,550,526,780,843,759,655,443,396,320,197,114,89,53,27,23,13,11
2002,Maschi,5,Veneto,21520,22091,21677,21363,20963,21052,20646,20180,20348,21041,20877,21192,20460,20609,19463,19843,21118,20953,21797,22249,23023,23869,25111,27051,28889,30921,33232,36054,36583,37826,38493,39023,40473,39803,40131,41335,41625,41614,39497,38258,37408,35361,35184,33097,32371,31991,30897,30746,30032,29763,29507,30512,30586,31444,30906,33774,22914,27030,27672,26805,26913,28216,28149,26997,24459,22740,23345,22328,20972,20134,19729,19660,18044,17425,17110,15524,14942,13571,12957,11687,10340,9437,5811,3772,3627,4082,4526,4082,3591,2947,2348,1709,1173,792,498,387,213,151,77,56,66
2002,Maschi,6,Friuli-Venezia Giulia,4975,4892,4807,4703,4503,4710,4529,4447,4540,4783,4628,4641,4647,4528,4197,4512,4644,4876,4884,5137,5428,5842,6316,7022,7155,7826,8318,9104,9098,9527,9531,9516,9879,9725,9679,9863,10127,10326,9700,9337,9256,8911,8772,8116,7924,8045,7906,7783,7676,7623,7650,8284,8291,8960,8900,9578,6661,7898,7942,7880,8172,8683,8359,8008,7290,6581,6525,6068,5906,5752,5603,5702,5082,4895,4963,4568,4434,4249,4181,3619,3602,3334,1921,1130,1218,1170,1411,1439,1182,989,791,580,431,265,204,138,103,41,37,19,18
2002,Maschi,7,Liguria,5609,5655,5605,5550,5486,5722,5491,5584,5759,6011,5898,5880,5677,5882,5782,5636,5784,5764,6001,6035,6236,6145,6562,7132,7825,8397,9339,9967,10509,11021,11396,11175,11661,11725,11614,12365,12736,12868,12116,11721,11460,11041,11026,10444,10519,10320,9955,10109,9763,9525,9522,10376,10417,11245,11608,11765,8718,9958,9758,9888,10449,11364,11345,11245,10351,9935,10000,9697,9669,9450,9429,9767,8984,8668,8069,7490,7188,6646,6469,5945,5638,4995,2963,2343,2222,2392,2497,2393,2035,1551,1248,963,703,479,286,219,142,118,55,45,39
2002,Maschi,8,Emilia-Romagna,17286,17555,16711,16388,16020,15837,15627,15486,15637,15789,16186,16040,15403,15283,14573,14846,15597,15765,16214,16857,17396,18155,19579,21485,23139,25386,27841,30142,30654,31970,32843,32548,33427,33587,33491,34795,34375,34966,32939,31692,31346,30267,29542,28324,28170,28062,26894,26287,25337,25033,25109,26405,26912,28596,28903,29438,21101,23712,23850,23594,24326,26269,26203,26470,24256,22239,23755,23238,22214,21063,21127,21433,19859,19193,18704,17337,17179,15876,15375,14052,13331,12544,7483,5097,4656,5456,6070,5443,4710,3972,3036,2374,1532,1116,776,467,339,203,136,88,94
2002,Maschi,9,Toscana,14168,14222,14085,13935,13738,13452,13493,13411,13717,14202,14385,14796,14145,14458,13749,13908,14764,14779,15399,15907,16319,16982,18064,19671,20390,22123,23790,25326,26084,26656,27148,27197,27789,27318,27521,28774,28877,29170,27355,26348,26020,25441,25111,23635,23320,23286,22796,22628,22032,22014,22047,23022,24036,25965,25664,26165,20535,20591,20995,20358,20980,23580,23199,23681,21177,19936,20436,19423,18975,18124,18967,19066,17384,17163,16585,15364,15060,14267,13614,12503,12314,11081,6584,4371,4013,4467,5206,4746,3934,3462,2520,2018,1330,985,666,434,282,194,109,89,66
2002,Maschi,10,Umbria,3350,3336,3499,3396,3324,3356,3332,3329,3442,3650,3618,3595,3725,3748,3470,3653,3851,3763,4191,4178,4366,4388,4595,4805,5027,5368,5540,5819,5896,5888,6045,6017,6265,6098,6073,6320,6629,6643,6029,6043,6058,5944,5789,5496,5284,5635,5456,5322,5261,5051,5389,5497,5682,6073,5650,5454,4503,4620,5106,4749,4911,5437,5241,5570,4880,4532,4800,4699,4691,4424,4588,4788,4097,4125,4104,4041,3818,3669,3354,3024,3062,2714,1673,1196,992,1143,1288,1177,929,808,582,462,270,208,130,86,62,38,19,20,14
